gene,ensembl_exon_id,isoform_type,variant_count_clinvar,variant_count_gnomad,fisher_p,fdr,min_fdr_for_gene
PCDH19,ENSE00001174648,canonical,105,125,4.677748439471045e-22,7.955290846060425e-18,7.955290846060425e-18
PCGF2,ENSE00003716723,non_canonical,3,10,3.771516766897584e-5,0.01486792091213244,0.01486792091213244
PDGFRB,ENSE00003469927,canonical,5,8,1.0946115614912027e-4,0.03560919141378183,0.03560919141378183
PDHA1,ENSE00001482663,non_canonical,0,33,4.400959568338504e-11,1.113406399222961e-7,1.113406399222961e-7
PHF3,ENSE00000757767,canonical,10,249,2.093181430435862e-9,3.219923112990082e-6,3.219923112990082e-6
PHIP,ENSE00003978906,non_canonical,5,2,1.3830341951712936e-6,8.711407979955482e-4,8.711407979955482e-4
PKD1,ENSE00001881431,non_canonical,18,28,4.2123500203422055e-10,8.319255407917135e-7,8.319255407917135e-7
PKD2,ENSE00003579436,canonical,8,24,4.087629550432519e-6,0.00222652163341352,0.00222652163341352
PLA2G6,ENSE00001860070,non_canonical,11,16,1.3098004814644272e-4,0.04163614988430846,0.04163614988430846
PNPLA6,ENSE00003207909,non_canonical,6,13,9.389573025287592e-5,0.03190162147059976,0.03190162147059976
POLG,ENSE00003796387,non_canonical,26,62,8.741691599577109e-7,6.000014870992253e-4,6.000014870992253e-4
POLR2A,ENSE00003740422,canonical,7,2,3.9086866789151455e-8,4.111777203262901e-5,4.111777203262901e-5
PPT1,ENSE00003811765,canonical,9,29,1.18559701006473e-4,0.03830291773329603,0.03830291773329603
PRPF8,ENSE00003989252,non_canonical,13,12,5.9742415448652414e-5,0.02187601461380559,0.02187601461380559
PRPH2,ENSE00001035135,canonical,2,40,4.832829049507552e-10,9.363453345792732e-7,9.363453345792732e-7
PRRT2,ENSE00003800537,non_canonical,9,30,5.816566861180031e-5,0.02142680442291734,0.02142680442291734
PSEN1,ENSE00003979379,canonical,1,36,2.670401896318855e-5,0.01104680308785308,0.01104680308785308
PTCH1,ENSE00002405951,canonical,8,24,9.683490797113124e-6,0.00475812231591054,0.00475812231591054
PTEN,ENSE00001939988,non_canonical,11,41,6.2286514538111355e-12,1.8159188409911097e-8,1.8159188409911097e-8
PTPN11,ENSE00003924067,canonical,0,18,9.385001169884908e-7,6.259121041667032e-4,6.259121041667032e-4
RAC1,ENSE00003968019,canonical,15,1,4.4350902813803467e-5,0.0171856941384323,0.0171856941384323
RAF1,ENSE00001666451,non_canonical,24,11,1.3097255647482589e-19,1.7431877820901614e-15,1.7431877820901614e-15
REEP1,ENSE00003923006,non_canonical,8,3,2.7712375175953267e-10,5.81048786908412e-7,5.81048786908412e-7
RET,ENSE00003917679,non_canonical,14,57,1.2683833934984262e-6,8.038872141154001e-4,8.038872141154001e-4
RHEB,ENSE00003464369,canonical,4,0,6.128014216992997e-6,0.00321768046673395,0.00321768046673395
RNF213,ENSE00003529999,non_canonical,7,22,1.4395393897877694e-9,2.34399892554166e-6,2.34399892554166e-6
RORA,ENSE00002543887,non_canonical,5,1,3.7446071748337606e-9,5.258252974128948e-6,5.258252974128948e-6
RPGR,ENSE00001477761,canonical,2,304,2.353568166023175e-9,3.566704391005022e-6,3.566704391005022e-6
RS1,ENSE00000666224,canonical,2,13,2.2016579735685236e-5,0.00942617536879435,0.00942617536879435
RUNX1,ENSE00003488338,non_canonical,10,8,9.751953132268634e-9,1.218476690959214e-5,1.218476690959214e-5
RUNX2,ENSE00003676933,non_canonical,11,12,2.8393939292876387e-9,4.178823411699673e-6,4.178823411699673e-6
RYR1,ENSE00003929854,non_canonical,16,12,7.816836311846952e-13,2.688640372789425e-9,2.688640372789425e-9
RYR2,ENSE00004022481,non_canonical,9,1,3.854524561661223e-7,2.9572607990369256e-4,2.9572607990369256e-4
SASH1,ENSE00000765048,canonical,5,14,6.595748246150458e-6,0.0033820610604884,0.0033820610604884
SATB1,ENSE00004282472,non_canonical,5,6,1.9514163539690247e-6,0.00117361016557366,0.00117361016557366
SCN1A,ENSE00003930456,non_canonical,4,47,1.5768994985690428e-17,1.2178812571745658e-13,1.2178812571745658e-13
SCN2A,ENSE00003798379,non_canonical,1,44,1.6015112917632847e-11,4.3004792687243577e-8,4.3004792687243577e-8
SCN8A,ENSE00003805342,non_canonical,0,83,3.948636340741552e-15,2.0840630286686277e-11,2.0840630286686277e-11
SDHB,ENSE00004022587,non_canonical,14,10,3.8433971897577586e-7,2.95613253198152e-4,2.95613253198152e-4
SDHD,ENSE00002155365,non_canonical,0,27,9.447525175575182e-5,0.03201244623258337,0.03201244623258337
SERPING1,ENSE00001554422,non_canonical,4,62,5.471701821173557e-10,1.0403710319861175e-6,1.0403710319861175e-6
SETD5,ENSE00003933344,non_canonical,12,13,1.1538536122625828e-12,3.8393224759328475e-9,3.8393224759328475e-9
SGCA,ENSE00002045453,non_canonical,17,21,1.9232455426952313e-8,2.2216751906787327e-5,2.2216751906787327e-5
SH3BP2,ENSE00004023890,non_canonical,5,17,5.381487122932264e-9,7.321692613653443e-6,7.321692613653443e-6
SIX1,ENSE00003825363,canonical,11,38,2.355724872916795e-5,0.00993298206745577,0.00993298206745577
SKI,ENSE00001477855,canonical,15,93,3.8683513432271327e-10,7.689478657069415e-7,7.689478657069415e-7
SLC2A1,ENSE00001457958,non_canonical,27,20,4.046249154058764e-5,0.01583935794169397,0.01583935794169397
SLC4A11,ENSE00003532783,non_canonical,6,18,6.982607830256013e-5,0.02479716831784188,0.02479716831784188
SLC6A1,ENSE00003814870,non_canonical,12,3,7.333042813657617e-7,5.101797877538341e-4,5.101797877538341e-4
SMAD3,ENSE00003914196,non_canonical,17,8,3.728732528800414e-7,2.875162724726405e-4,2.875162724726405e-4
SMARCA2,ENSE00003788132,non_canonical,12,1,1.4069610055070616e-15,7.97590561121892e-12,7.97590561121892e-12
SMARCA4,ENSE00002755975,non_canonical,11,4,1.5620614839888242e-7,1.3584609701098262e-4,1.3584609701098262e-4
SMARCE1,ENSE00002696244,non_canonical,6,1,1.554836185325935e-9,2.453435325010182e-6,2.453435325010182e-6
SMCHD1,ENSE00003935666,non_canonical,9,14,1.1403330815757217e-7,1.0206981372279528e-4,1.0206981372279528e-4
SMPD1,ENSE00002171516,non_canonical,0,34,3.773805876364467e-5,0.01486792091213244,0.01486792091213244
SMS,ENSE00001667048,non_canonical,0,57,2.0403021766503047e-5,0.00882879621136274,0.00882879621136274
SOS1,ENSE00003929655,non_canonical,15,56,4.782181196384965e-6,0.00258187179512762,0.00258187179512762
SOS2,ENSE00002494482,non_canonical,5,9,8.606628208299788e-6,0.00428400167012151,0.00428400167012151
SOX10,ENSE00001765670,non_canonical,18,1,3.7354295268790726e-10,7.522958465580406e-7,7.522958465580406e-7
SOX5,ENSE00003589058,non_canonical,13,3,1.3831712261510745e-17,1.176156599303797e-13,1.176156599303797e-13
SOX9,ENSE00003842779,canonical,2,116,4.568616506690247e-12,1.4270866173755291e-8,1.4270866173755291e-8
SPAST,ENSE00003823726,non_canonical,38,5,2.96160757664294e-21,4.31717767315208e-17,4.31717767315208e-17
SPTAN1,ENSE00003774680,non_canonical,8,8,5.6610940738832e-8,5.7765803929904174e-5,5.7765803929904174e-5
SPTB,ENSE00002515904,non_canonical,5,21,3.096977739523213e-5,0.01250721405834889,0.01250721405834889
STAT1,ENSE00003972849,non_canonical,9,1,2.7126314775102533e-6,0.00159998217320893,0.00159998217320893
STAT3,ENSE00001878168,non_canonical,13,2,7.114793983559254e-6,0.0036239280103946,0.0036239280103946
STAT6,ENSE00001533101,non_canonical,3,2,3.740576359327717e-5,0.01477503529183742,0.01477503529183742
STIM1,ENSE00003975148,non_canonical,5,13,2.0559389646223932e-8,2.3483732680977875e-5,2.3483732680977875e-5
STK11,ENSE00002753065,non_canonical,22,17,3.453031980751207e-13,1.2435789999383052e-9,1.2435789999383052e-9
SYNGAP1,ENSE00003468277,non_canonical,21,49,3.164153672755482e-6,0.00179404307687722,0.00179404307687722
TBX4,ENSE00002833355,non_canonical,4,11,2.8344930350977445e-5,0.01158471305612979,0.01158471305612979
TBX5,ENSE00003664921,non_canonical,8,12,1.7731899820020775e-5,0.00784405949841728,0.00784405949841728
TCF4,ENSE00002623377,non_canonical,35,10,6.679229973588272e-32,4.089291759029684e-27,4.089291759029684e-27
TCOF1,ENSE00002034512,non_canonical,3,1,1.4369041121858555e-4,0.04502201502787453,0.04502201502787453
TFAP2A,ENSE00001851244,non_canonical,18,3,1.6406044666287976e-18,1.5694432478887735e-14,1.5694432478887735e-14
TFE3,ENSE00003487180,canonical,12,11,2.8514961629367405e-8,3.174181837811618e-5,3.174181837811618e-5
TGFBI,ENSE00003562022,non_canonical,4,7,5.281959269651435e-6,0.00281692225021898,0.00281692225021898
TGFBR2,ENSE00003892927,non_canonical,27,3,7.68356648788256e-8,7.304637805188228e-5,7.304637805188228e-5
TGM1,ENSE00000654401,canonical,12,16,1.3482237263158458e-5,0.00624384640090479,0.00624384640090479
THRB,ENSE00000997545,non_canonical,0,45,7.896008999313471e-10,1.3983902347962626e-6,1.3983902347962626e-6
TMEM67,ENSE00003921108,non_canonical,8,18,1.0116555482252997e-5,0.00494709259461228,0.00494709259461228
TNFRSF1A,ENSE00002271152,non_canonical,12,7,3.7697515221371775e-8,4.02089315664332e-5,4.02089315664332e-5
TNNI3,ENSE00002821271,non_canonical,0,25,5.550156611145295e-5,0.02056917605089343,0.02056917605089343
TNNT2,ENSE00003847221,non_canonical,11,7,1.2637890206066861e-7,1.1246252761282522e-4,1.1246252761282522e-4
TP53,ENSE00004023721,non_canonical,40,19,8.542283905823413e-6,0.0042736710958448,0.0042736710958448
TP63,ENSE00003678146,non_canonical,10,3,2.4563078129667817e-5,0.01027219873914469,0.01027219873914469
TPM1,ENSE00002563425,non_canonical,9,0,5.876641535207989e-8,5.937153487649734e-5,5.937153487649734e-5
TPM3,ENSE00001774775,non_canonical,4,1,1.2491622503249726e-4,0.04004120922193514,0.04004120922193514
TRIO,ENSE00003565792,non_canonical,6,2,1.7865290643673188e-10,3.962987515826984e-7,3.962987515826984e-7
TSC1,ENSE00003825575,canonical,6,28,2.2419060650724798e-7,1.825245437872307e-4,1.825245437872307e-4
TSC2,ENSE00003819515,non_canonical,15,17,2.3132436907006e-9,3.540650792986338e-6,3.540650792986338e-6
TUBA1A,ENSE00002348418,non_canonical,51,46,2.658982697472281e-9,3.9512999191758e-6,3.9512999191758e-6
TUBB3,ENSE00002447809,non_canonical,3,44,9.226548164717668e-5,0.03138256582425969,0.03138256582425969
TYR,ENSE00001153836,canonical,0,37,3.950679862224024e-5,0.01548504634345733,0.01548504634345733
U2AF2,ENSE00002826846,non_canonical,5,0,4.91295866714621e-5,0.01875255495245384,0.01875255495245384
UMOD,ENSE00002636151,non_canonical,0,25,1.6684931602013846e-5,0.0074990851052519,0.0074990851052519
VHL,ENSE00004021411,non_canonical,9,40,4.225566018647742e-5,0.01639455348071542,0.01639455348071542
VWF,ENSE00001749068,canonical,63,194,5.844700272383598e-15,2.9819660789701115e-11,2.9819660789701115e-11
WAS,ENSE00001936429,non_canonical,0,52,4.9969221296123555e-8,5.1852806858201154e-5,5.1852806858201154e-5
WDR37,ENSE00003992109,canonical,5,13,5.693822388699841e-6,0.00302078493869808,0.00302078493869808
WT1,ENSE00003847376,non_canonical,29,15,2.4231523745897063e-8,2.71712602530916e-5,2.71712602530916e-5
YY1,ENSE00001300652,canonical,1,76,8.782925758134984e-28,2.987365814533646e-23,2.987365814533646e-23
ZBTB20,ENSE00003991498,non_canonical,20,117,2.4647865014101293e-12,7.942320461175461e-9,7.942320461175461e-9
ZEB2,ENSE00003792232,non_canonical,17,0,6.2650356730307485e-16,3.618590038166364e-12,3.618590038166364e-12
